Team,Conf,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,Year
Gonzaga,WCC,117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30.0,26.2,39.0,26.9,56.3,40.0,38.2,29.0,71.5,7.7,2017
Kentucky,SEC,117.2,96.2,0.9062,49.9,46.0,18.1,16.1,42.0,29.7,51.8,36.8,50.0,44.9,33.2,32.2,65.9,3.9,2014
Duke,ACC,125.2,90.6,0.9764,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,66.4,10.7,2015
Virginia,ACC,123.0,89.9,0.9736,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,11.1,2019
Connecticut,Amer,112.5,91.3,0.9171,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,48.1,42.2,38.7,33.0,64.8,4.7,2014
Virginia,ACC,119.9,91.0,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,8.6,2016
Duke,ACC,122.3,92.9,0.9592,55.9,46.4,17.5,17.3,38.8,30.0,34.6,22.3,56.0,45.4,37.2,32.0,70.9,6.6,2018
Duke,ACC,118.9,89.2,0.9646,53.6,45.0,17.5,19.4,35.6,29.5,33.2,24.0,58.0,45.0,30.8,29.9,73.6,11.2,2019
Purdue,B10,122.8,94.3,0.9539,53.6,49.0,15.8,18.6,34.5,27.0,29.9,31.7,51.5,47.2,37.4,34.2,67.0,6.1,2019
Kansas,B12,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,2016
Kansas,B12,121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,71.4,11.0,2017
Kansas St.,B12,109.6,93.7,0.8584,52.6,49.1,17.2,21.6,25.9,31.9,33.8,36.8,53.4,48.9,34.1,33.0,66.5,2.5,2018
Xavier,BE,115.6,97.9,0.8713,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52.0,52.5,34.5,33.4,68.4,1.6,2017
Arizona,P12,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36.0,33.5,66.7,9.0,2015
Kentucky,SEC,118.3,91.3,0.9517,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,52.9,48.3,35.3,30.6,73.7,9.0,2017
Kentucky,SEC,117.5,89.8,0.9568,53.0,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,66.9,8.8,2019
