Rk,Team,Conf,W-L,BPI Off,BPI Def,BPI,Year
1,Kansas,Big 12,37-3,12.4,9.6,21.9,2008
3,Memphis,C-USA,38-2,11.3,8.0,19.3,2008
4,UCLA,Pac-12,35-4,7.9,10.9,18.9,2008
5,Duke,ACC,28-6,13.8,4.3,18.2,2008
7,West Virginia,Big East,26-11,8.9,7.7,16.6,2008
9,Tennessee,SEC,31-5,13.3,2.8,16.1,2008
14,Xavier,A 10,30-7,7.9,6.4,14.3,2008
15,Marquette,Big East,25-10,8.3,5.9,14.2,2008
17,Texas,Big 12,31-7,9.4,4.3,13.7,2008
18,Michigan St.,Big Ten,27-9,5.8,7.8,13.6,2008
19,Pittsburgh,Big East,27-10,7.2,6.0,13.3,2008
20,Indiana,Big Ten,25-8,8.5,4.1,12.6,2008
22,Connecticut,Big East,24-9,8.5,3.8,12.3,2008
23,Texas A&M,Big 12,25-11,4.1,8.2,12.3,2008
25,USC,Pac-12,21-12,4.9,7.1,12.0,2008
27,Gonzaga,WCC,25-8,8.1,2.9,11.0,2008
28,Mississippi St.,SEC,23-11,5.5,5.5,11.0,2008
29,Arizona,Pac-12,19-15,6.6,4.1,10.7,2008
31,Miami FL,ACC,23-11,8.1,2.2,10.4,2008
32,Drake,MVC,28-5,5.4,4.9,10.3,2008
33,Purdue,Big Ten,25-9,3.9,6.0,9.9,2008
36,Arkansas,SEC,23-12,5.5,4.1,9.7,2008
37,Kansas St.,Big 12,21-12,8.6,1.1,9.6,2008
44,Missouri,Big 12,16-16,10.1,-1.0,9.1,2008
46,VCU,CAA,24-8,0.4,8.6,9.0,2008
50,Maryland,ACC,19-15,5.9,2.4,8.3,2008
54,Illinois,Big Ten,16-19,-0.7,8.8,8.1,2008
56,Baylor,Big 12,21-11,12.6,-4.8,7.8,2008
59,Kent St.,MAC E,28-7,1.8,5.8,7.6,2008
62,Kentucky,SEC,18-13,1.0,6.4,7.4,2008
63,Arizona St.,Pac-12,21-13,0.5,6.7,7.1,2008
71,Houston,C-USA,24-10,8.4,-1.7,6.7,2008
74,Virginia,ACC,17-16,7.8,-1.4,6.4,2008
75,Creighton,MVC,22-11,4.2,2.1,6.3,2008
80,Alabama,SEC,17-16,6.5,-0.5,6.0,2008
82,Providence,Big East,15-16,5.0,0.9,5.8,2008
84,Oral Roberts,Summit,24-9,-0.9,6.5,5.6,2008
99,UC Santa Barbara,Big West,23-9,0.3,3.9,4.3,2008
101,San Diego St.,MW,20-13,-0.7,4.9,4.2,2008
102,North Carolina St.,ACC,15-16,1.1,3.2,4.2,2008
126,Nevada,WAC,21-12,3.9,-1.4,2.4,2008
134,Auburn,SEC,14-16,2.7,-0.7,2.0,2008
135,Utah St.,WAC,24-11,2.8,-0.8,2.0,2008
137,Iowa St.,Big 12,14-18,-2.2,3.9,1.7,2008
155,UNC Asheville,Big South,23-10,2.3,-1.6,0.7,2008
163,Vermont,Am. East,16-15,2.0,-2.0,0.0,2008
164,Iowa,Big Ten,13-19,-9.7,9.7,0.0,2008
168,College of Charleston,Southern,16-17,2.4,-2.7,-0.3,2008
173,TCU,MW,14-16,-0.7,0.0,-0.7,2008
201,Colgate,Patriot,18-14,-4.3,2.2,-2.1,2008
210,Northwestern,Big Ten,22-Aug,-3.6,0.7,-2.9,2008
222,Florida Atlantic,Sun Belt,15-18,2.1,-5.8,-3.8,2008
232,Montana St.,Big Sky,15-15,0.7,-4.8,-4.1,2008
236,Iona,MAAC,20-Dec,-4.5,0.3,-4.2,2008
266,Texas A&M-CC,Southland,20-Sep,-5.2,-1.0,-6.2,2008
289,Princeton,Ivy,23-Jun,-10.8,3.2,-7.5,2008
302,Furman,Southern,23-Jul,-6.6,-2.1,-8.8,2008
303,SE Missouri St.,OVC,19-Dec,3.4,-12.3,-8.9,2008
305,Kennesaw St.,A-Sun,20-Oct,-3.2,-5.9,-9.1,2008
306,Fairleigh Dickinson,NEC,20-Aug,-0.6,-8.7,-9.2,2008
333,Texas Southern,SWAC,25-Jul,-6.7,-7.4,-14.1,2008
336,Howard,MEAC,26-Jun,-12.9,-3.0,-15.9,2008
2,Connecticut,Big East,31-5,12.3,6.4,18.6,2009
3,Memphis,C-USA,33-4,8.1,10.3,18.5,2009
